80 KORMAN,A.J.
80 WEINER,D.
80 WU,Z.
80 HATA,Y.
80 LU,A.L.
80 TOMIZUKA,K.
80 JIN,H.
80 HINKLE,G.
79 ZHU,J.
79 KOYAMA,N.
79 HU,Z.
79 KAWASAKI,H.
79 YANG,W.
79 ROTHBERG,J.M.
79 KIM,D.W.
79 FUKUDA,K.
79 STEWARD,L.E.
79 DOI,H.
79 YOON,J.
79 SHIMONAGA,T.
79 CASCAO-PEREIRA,L.G.
78 SKERRA,A.
78 SONG,S.
78 BORCH,K.
78 SIMS,J.E.
78 JUNE,C.H.
78 DUCK,N.B.
78 BARANY,F.
78 KATO,N.
78 BRENTANO,S.T.
78 CHEN,B.
78 TANAKA,S.
78 HAN,M.
78 NOVAK,J.E.
78 PEDERSEN,H.
78 ZHAO,J.
78 NAKANISHI,A.
78 DRMANAC,R.
78 TAKEDA,S.
78 TETTELIN,H.
78 HAN,S.
78 GOTO,Y.
78 INUI,M.
78 OH,H.
78 LEE,S.M.
77 TANIGUCHI,T.
77 AEHLE,W.
77 LANZAVECCHIA,A.
77 METT,I.
77 FITZGERALD,K.
77 HONDA,M.
77 JANJIC,N.
77 SAKAMOTO,K.
77 ZHANG,K.
77 OKADA,Y.
77 MOCKEL,B.
77 YASOHARA,Y.
77 VOGELS,R.
77 GUSYATINER,M.M.
77 PEPINSKY,R.B.
77 ZHANG,B.
77 ISHIDA,Y.
77 XU,D.
77 SMITH,E.S.
77 JUNG,K.
77 MORITA,K.
77 BHAGAT,L.
77 RYU,J.
76 UHLEN,M.
76 YU,L.
76 SPRECHER,C.A.
76 MUKERJI,P.
76 FEDER,J.N.
76 SORGE,J.A.
76 DILLON,P.J.
76 BRAMS,P.
76 DIMARCHI,R.D.
76 MIYAWAKI,A.
76 GORMAN,D.M.
76 MURDIN,A.D.
76 MEYERS,R.
76 DUECKER,K.
76 NAKAJIMA,K.
76 POPPLEWELL,A.G.
76 SHIN,S.
76 CHAMPION,B.R.
76 YAMASHITA,S.
76 WATANABE,N.
76 JUNG,S.Y.
76 KETCHEM,R.R.
76 SEO,J.
75 PLOWMAN,G.D.
75 BLANCHE,F.
75 CHARNEAU,P.
75 CHANG,H.
75 ISHIDA,H.
75 ITO,N.
75 OZAKI,A.
75 KOJIMA,M.
75 MI,S.
75 ENDO,T.
75 KANEKO,S.
75 SUGIMOTO,S.
75 MIYAZAKI,K.
75 MAIER,M.
75 ISON,C.H.
75 MORRISON,K.J.M.
75 TURNER,C.A.
75 BANCHEREAU,J.F.
75 ABAD,A.R.
75 SANZ MOLINERO,A.I.
75 O'CONNELL,S.
75 MATSUMURA,T.
75 MATSUMOTO,S.
75 WATANABE,F.
75 DUCHATEAU,P.
75 FREY,G.
75 HORII,K.
75 KATOU,I.
75 MUNDORFF,E.
74 ISHII,Y.
74 LEE,S.C.
74 RAUM,T.
74 YUKAWA,H.
74 LINSLEY,P.S.
74 FOSTER,D.C.
74 HARA,Y.
74 GROSS,J.A.
74 IKEDA,Y.
74 GLUCKSMANN,M.A.
74 HONMA,T.
74 BAZAN,J.F.
74 LI,F.
74 IMAI,Y.
74 LIM,J.
74 GUO,X.
74 GUDAS,J.
74 LIMMER,S.
74 FRANCIS,J.
74 CHATTERTON,J.E.
74 MIYAMOTO,S.
74 MARTIN,J.H.
73 KOSSMANN,J.
73 PARK,D.
73 OKANO,K.
73 SOGABE,A.
73 LONBERG,N.
73 NABEL,G.J.
73 FREEMAN,G.J.
73 GEORGIOU,G.
73 SINGH,R.
73 MISAWA,N.
73 CHUNTHARAPAI,A.
73 SHIBATA,T.
73 ONO,E.
73 ZHOU,M.
73 MCNEILL,P.D.
73 LI,T.
73 BRODEUR,B.R.
73 DILLON,S.R.
73 FALCO,S.C.
73 THONNARD,J.
73 SHIBAYAMA,S.
73 LIN,S.
73 POLICKY,J.L.
73 KIM,J.K.
73 YE,X.
73 PARK,J.C.
73 KWON,H.
72 WANG,B.
72 NISHIMURA,A.
72 NAKAGAWA,S.
72 DEAN,N.M.
72 CHANG,Y.
72 KOYAMA,Y.
72 GRANT,S.
72 SHINOZAKI,K.
72 XIAO,Y.
72 TERAO,Y.
72 MARUYAMA,T.
72 MACHIDA,M.
72 SATO,A.
72 NAKANO,K.
72 ANDO,H.
72 CHO,H.S.
72 HELFTENBEIN,G.
72 JUNG,Y.
72 JEONG,J.
72 CHOI,J.H.
71 SINGH,M.
71 ROY,S.
71 HERRMANN,R.
71 SMITH,G.
71 ZHENG,Y.
71 HAWKINS,P.R.
71 KAMBARA,H.
71 BALTIMORE,D.
71 ONO,Y.
71 SHIN,J.
71 MATSUSHIMA,K.
71 ARAKI,T.
71 ZHANG,Q.
71 NAKAMURA,J.
71 YE,J.
71 WEBB,S.R.
71 COOK,P.D.
71 REBAR,E.J.
71 KOENIG,S.
71 YAMAGUCHI,A.
71 YU,G.
71 LEE,Y.H.
71 SAWADA,K.
71 AKIYAMA,T.
71 SHIBATA,D.
71 KURIBAYASHI,H.
71 HAN,Y.
71 BRUENKER,P.
71 SONG,M.
71 CHUNG,H.
70 YU,S.
70 COHEN,D.
70 KOJIMA,T.
70 WANG,G.
70 HUMPHREYS,D.P.
70 LEE,W.
70 MOYLE,M.
70 ROSSI,J.J.
70 ZHOU,T.
70 MCKAY,R.
70 VASQUEZ,M.
70 ZHAO,L.
70 KOMATSOULIS,G.
70 YAMAMOTO,J.
70 PAONI,N.F.
70 GRIFFEY,R.H.
70 CURTIS,R.A.
70 HEARTLEIN,M.
70 SUDA,M.
70 MITSUKAWA,N.
69 CAMERON,B.
69 HIRANO,T.
69 SMITH,D.
69 SALFELD,J.G.
69 FRIEDMAN,L.
69 XU,Q.
69 YAN,H.
69 SATOH,M.
69 FENG,X.
69 SHI,X.
69 VOROSHILOVA,E.B.
69 RAMAKRISHNAN,S.
69 XU,L.
69 PEOPLES,O.P.
69 LASSEN,S.F.
69 CHANG,J.
69 DONEGAN,J.J.
69 FUKUDA,H.
69 SASAKI,S.
69 MIYAMOTO,K.
69 HIROSE,Y.
69 WANG,F.
69 HE,Y.
